ID,Contract_address,File_name,Solc_version,Tx_num,Tx_in_num,Tx_all_num,Balance
142,0xabf1bcf046612f0abc1b705ba78355330b2fb72f,OfficialGuardian.sol,0.7.0,1,0,1,0
143,0x7b804b703dd32a549afe677c90a1f4516642617e,JWToken.sol,0.7.0,12,0,12,0
144,0x32FD0a9206c6AdA63Ceb2738449261E3a876Bbf6,Town.sol,0.7.0,50,0,50,5.04E+18
145,0xc475c56388b2ae3d82d71224c8e2eb433e484bae,FinalTransferModule.sol,0.7.0,2,0,2,0
146,0x916bc1becbab82747948f9d04467aecbbbc13e5f,NinjaBoomToken.sol,0.7.0,2,0,2,0
147,0x5d3a4F62124498092Ce665f865E0b38fF6F5FbEa,ideaology.sol,0.7.0,3693,0,3693,0
148,0x5d13507eaf2e22d1822ebc8011d46d5641bc92da,WUSDT.sol,0.7.0,1,0,1,0
149,0xe91c47806d720a8c0a8a87473e6788d30eb1d8f0,SoloMiner.sol,0.7.0,43,0,43,0
150,0x1f773c9344e3cae0aa6fa3c89ac90701fea364fe,Router.sol,0.7.0,5,0,5,0
151,0xb422567B17a70CAd2Eb0D191490690b1e7022bcB,xDFIE.sol,0.7.0,35,0,35,0
152,0xE929d7af8CEdA5D6002568110675B82D3fA84BA3,UniswapWrapper__1.sol,0.7.0,15,0,15,0
153,0x6A99298240EF13e58688a8634E625d4E13974558,UniswapWrapper__2.sol,0.7.0,1,0,1,0
154,0xb716d15b9cee05bc3b59d2c550a889b18906ce37,GenericPool_YFCC_Finance.sol,0.7.0,141,0,141,8.00E+16
155,0x7afb8ba591f0e22486e2e040ee213aeb86413820,UpgraderModule.sol,0.7.0,1,0,1,0
156,0x8feeb9f36f484b312a30cb5486aa99976dab63b0,YFCCErc20Token.sol,0.7.0,166,0,166,0
157,0x6325d247696d39ee59ffd931a87e022a68bbbe4f,OwnedUpgradeabilityProxy.sol,0.7.0,81,0,81,0
158,0xa3d090b3ec08765a900097ecbe388a5dfc81e9e1,ControllerImpl__1.sol,0.7.0,4,0,4,0
159,0xBE81ed75f7B9bDEc5D17d23c4609986B73B382b8,HiKredeum.sol,0.7.0,1,0,1,0
160,0xbe23e67938d40f2a9e1672f2c99c0de3d079417e,ClerkTeamReserve.sol,0.7.0,1,0,1,0
161,0x8c3f684c79c19518b8df3b86ea0b23905972d14e,ClerkDevReserve.sol,0.7.0,1,0,1,0
162,0xd65794890dd6c2209ff921dda3940a605f1d9b26,ClerkCommunityReserve.sol,0.7.0,1,0,1,0
163,0x2f444075ce7f45cec25cdbdc4ec3a421945f09ea,Hodler.sol,0.7.0,13,0,13,0
164,0x661cedb088918820e6893F01356F8D745010452a,TokenTimelock__5.sol,0.7.0,8,0,8,0
165,0x208ae2411057955ab120b7772577fe482deb12f4,MintNewVotingTokensForStableCoinFunctionality.sol,0.7.0,1,0,1,0
166,0x9d79d5b61de59d882ce90125b18f74af650acb93,NSBT.sol,0.7.0,2453,0,2453,0
167,0x2ff5b448bfdd0c04b9ab13612a40d5d4fb28b3b7,decaswapPair.sol,0.7.0,0,1,1,0
168,0x4a2ba2614d64a4f05f865edd6b6309dd79be304f,ButtSwap.sol,0.7.0,9,0,9,0
169,0xEB2f5eC2DCeF6efC53935015f1Cf367E32EDcb5D,PARAMORE.sol,0.7.0,215,0,215,0
170,0x2549a2e2a19f5acc5c9c4114e6045067edc396b3,Adcube.sol,0.7.0,353,614,967,0
171,0xd9a947789974bad9be77e45c2b327174a9c59d71,YottaCoin.sol,0.7.0,2280,0,2280,0
172,0xc16E80E50adFDdfF3C780a63e490cC7680e7d105,betOnTrump.sol,0.7.0,2,1,3,0
173,0x4da04677882bdfdac4a774cc785ab94829725690,betOnBiden.sol,0.7.0,1,0,1,0
174,0x7F222f42D2d8d21bB289FdF6f47A91c9b507eC58,election2020.sol,0.7.0,7,3,10,0
175,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,NuCypherToken.sol,0.7.0,10000,0,10000,0
